"pmid","seed","c","is_seed"
33877016,32737653,5,TRUE
33882703,26080163,47,TRUE
33882703,21740168,62,TRUE
33882703,27673519,63,TRUE
33882703,29461877,22,TRUE
33882703,28416097,27,TRUE
33893619,26399452,9,TRUE
33893619,24094322,932,TRUE
33893619,19896746,4105,TRUE
33893619,31113469,90,TRUE
33893619,27256706,77,TRUE
33900417,22480509,61,TRUE
33900417,29256945,1255,TRUE
33900417,27847680,38,TRUE
33900417,28208956,11,TRUE
33900417,26709818,59,TRUE
33901662,24428806,28,TRUE
33901662,28374813,19,TRUE
33901662,25087917,24,TRUE
33901662,32679219,14,TRUE
33901662,27571366,9,TRUE
33905279,27357969,9,TRUE
33905279,31864348,26,TRUE
33905279,23284148,543,TRUE
33905279,26486857,86,TRUE
33905279,29145410,22,TRUE
33910664,30799584,17,TRUE
33910664,29857921,98,TRUE
33910664,30663159,59,TRUE
33910664,27865369,148,TRUE
33910664,26960539,39,TRUE
33913002,23437617,7,TRUE
33913002,24220723,11,TRUE
33913002,29313949,12489,TRUE
33913002,21242391,5,TRUE
33913002,26940663,7,TRUE
33913064,26000754,11,TRUE
33913064,21711991,27,TRUE
33913064,20932356,282,TRUE
33913064,23896849,87,TRUE
33913064,22048465,207,TRUE
33913356,29505159,994,TRUE
33913356,20698919,913,TRUE
33913356,32415914,89,TRUE
33913356,32276196,602,TRUE
33913356,32415733,112,TRUE
33914164,29903051,293,TRUE
33914164,27909165,757,TRUE
33914164,29123145,34,TRUE
33914164,30233372,11,TRUE
33914164,23793226,46,TRUE
33929347,31092252,48,TRUE
33929347,25104492,838,TRUE
33929347,29985400,86,TRUE
33929347,27419927,23,TRUE
33929347,28000926,148,TRUE
33932494,31301758,32,TRUE
33932494,31056457,60,TRUE
33932494,22243964,1440,TRUE
33932494,30047479,61,TRUE
33932494,31835028,634,TRUE
33949063,26833619,53,TRUE
33949063,31913968,5,TRUE
33949063,31761447,18,TRUE
33949063,22420590,136,TRUE
33949063,24526464,151,TRUE
33956280,21397732,165,TRUE
33956280,22643349,213,TRUE
33956280,20680166,13,TRUE
33956280,33594598,14,TRUE
33956280,29745434,6,TRUE
33993835,28614193,18,TRUE
33993835,22927579,25,TRUE
33993835,29239989,53,TRUE
33993835,29227730,13,TRUE
33993835,32134698,24,TRUE
33998940,21693063,18,TRUE
